JobTitle,JobYear,JobLink,JobType,JobField,JobSource,JobLink_norm
"Adams State College (CO) - Asst. Professor, Rhet/Comp",2011,http://www.alamosa.org/ | http://chronicle.com/jobs/0000717790-01/,TT,Rhetoric/Composition,Wiki,http://www.alamosa.org/ | http://chronicle.com/jobs/0000717790-01/
Albion College - Visiting instructor of professional writing including multimedia journalism - DEADLINE PASSED,2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Non-TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Alcorn State University, Assistant Professor, WID/QEP Director - CAMPUS INTERVIEW SCHEDULED",2011,http://sacs.alcorn.edu/Sacs/forms/QEP.aspx | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://sacs.alcorn.edu/Sacs/forms/QEP.aspx | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
American University of Beirut - Faculty position in Rhetoric/Composition - POSITION FILLED,2011,http://www.aub.edu.lb/fas | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Unknown,Rhetoric/Composition,Wiki,http://www.aub.edu.lb/fas | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Arizona State University - Assistant Professor, Digital Humanities, Rhetoric and Composition - OFFER MADE AND ACCEPTED",2011,http://sls.asu.edu/jobs.html | http://wpacouncil.org/node/3432 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://sls.asu.edu/jobs.html | http://wpacouncil.org/node/3432 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Arizona State University - Associate Professor, Technical Communication/Program Director - DEADLINE PASSED",2011,http://sls.asu.edu/jobs.html | http://wpacouncil.org/node/3431 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://sls.asu.edu/jobs.html | http://wpacouncil.org/node/3431 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Arizona Western College - Professor of English/Writing Specialist - DEADLINE PASSED,2011,http://chronicle.com/jobs/0000707959-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000707959-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Arizona Western College - Professor of English/Writing Center Coordinator - DEADLINE PASSED,2011,http://chronicle.com/jobs/0000707958-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000707958-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Arkansas State University - Assistant Professor, Composition Program Director - SKYPE INTERVIEW COMPLETED",2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175561327&Title=Assistant%20Professor | http://wpacouncil.org/node/3437 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175561327&Title=Assistant%20Professor | http://wpacouncil.org/node/3437 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Atlanta Metropolitan College - Assistant Professor of Composition and Rhetoric (2 positions),2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Augustana College - Assistant Professor / Writing Ctr. Director - POSITION CANCELLED,2011,http://www.augie.edu/admin/human_res/prospective/facultypositions.html#address | mailto:patrick.hicks@augie.edu | http://www.augie.edu/admin/human_res/prospective/facultypositions.html#english | http://chronicle.com/jobs/0000688737-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.augie.edu/admin/human_res/prospective/facultypositions.html#address | mailto:patrick.hicks@augie.edu | http://www.augie.edu/admin/human_res/prospective/facultypositions.html#english | http://chronicle.com/jobs/0000688737-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Aurora University - Assistant Professor of Writing and English - SEARCH CANCELED,2011,mailto:facultysearch@aurora.edu | http://www.aurora.edu/facultyjobs | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175581304&Title=WRITING%20and%20ENGLISH%20-%209%20Month%20Tenure%20Track%20Assistant%20Professor | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,mailto:facultysearch@aurora.edu | http://www.aurora.edu/facultyjobs | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175581304&Title=WRITING%20and%20ENGLISH%20-%209%20Month%20Tenure%20Track%20Assistant%20Professor | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Ball State University - Asst./Assoc. Professor, Digital Humanities - INTERVIEWS SCHEDULED",2011,mailto:engsearch@bsu.edu,TT,Rhetoric/Composition,Wiki,mailto:engsearch@bsu.edu
Ball State University - Assistant/Associate Professor--Secondary English Education,2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Binghamton University - Assistant Professor, English Education - DEADLINE PASSED",2011,http://wpacouncil.org/node/3446 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://wpacouncil.org/node/3446 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Binghamton University - Assistant Professor, Writing and Rhetoric - OFFER MADE & ACCEPTED",2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175562130&Title=Assistant%20Professor%20of%20Writing%20and%20Rhetoric%20%28tenure%20track%29 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175562130&Title=Assistant%20Professor%20of%20Writing%20and%20Rhetoric%20%28tenure%20track%29 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Biola University - Writing Program Co-Director OFFER MADE & ACCEPTED,2011,http://www.biola.edu/about/doctrinal-statement/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.biola.edu/about/doctrinal-statement/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Boise State University - Assistant Professor - CAMPUS VISITS SCHEDULED,2011,http://english.boisestate.edu/faculty-positions/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://english.boisestate.edu/faculty-positions/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Boston University, Lecturer, Writing Program - PHONE INTERVIEWS SCHEDULED",2011,http://www.bu.edu/hr/jobs | mailto:writing@bu.edu | http://chronicle.com/jobs/0000712592-01/,Non-TT,Rhetoric/Composition,Wiki,http://www.bu.edu/hr/jobs | mailto:writing@bu.edu | http://chronicle.com/jobs/0000712592-01/
Bowie State University (MD) - TT Asst. Professor - PHONE/SKYPE INTERVIEWS HELD,2011,,TT,Rhetoric/Composition,Wiki,
Bowling Green State University - Assistant Professor - OFFER ACCEPTED,2011,http://www.bgsu.edu/departments/english | http://www.bgsu.edu/departments/english/rcweb/rchome.htm | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175554172&Title=Rhetoric%20and%20Composition | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.bgsu.edu/departments/english | http://www.bgsu.edu/departments/english/rcweb/rchome.htm | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175554172&Title=Rhetoric%20and%20Composition | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Brigham Young - Open Rank, Open Area - INTERVIEWS SCHEDULED",2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Unknown,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Bunker Hill Community College - Full Time Writing Instructor - DEADLINE PASSED,2011,http://careers.insidehighered.com/bunker-hill-community-college/ft-faculty-positions-writing-english-dept-4-positions/job/380247 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Non-TT,Rhetoric/Composition,Wiki,http://careers.insidehighered.com/bunker-hill-community-college/ft-faculty-positions-writing-english-dept-4-positions/job/380247 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
California Baptist University - Assistant Professor of Composition & Rhetoric - INTERVIEWS SCHEDULED,2011,http://www.calbaptist.edu/faculty | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.calbaptist.edu/faculty | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"California Institute of Technology - Lecturer, Writing Coordinator - OFFER ACCEPTED",2011,http://www.hss.caltech.edu/jobs/wrtgcoord | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.hss.caltech.edu/jobs/wrtgcoord | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"California Polytechnic State University, San Luis Obispo - Asst. Professor - OFFER MADE & ACCEPTED",2011,http://chronicle.com/jobs/0000690053-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000690053-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"California State University Northridge - Asst Professor in Writing and Composition, Central American Studies - ADDITIONAL MATERIALS REQUESTED",2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"California State University San Marcos - Associate/Advanced Assistant, Writing Program Director - PHONE INTERVIEWS SCHEDULED",2011,http://www.csusm.edu/facultyopportunities | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Non-TT,Rhetoric/Composition,Wiki,http://www.csusm.edu/facultyopportunities | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Carnegie Mellon University, Assistant Teaching Professor and Dir. of Prof. & Tech. Writing - OFFER MADE & ACCEPTED",2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Centenary College of New Jersey - Assistant Professor - OFFER MADE & ACCEPTED,2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175564016&Title=Assistant%20Professor%20of%20English | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175564016&Title=Assistant%20Professor%20of%20English | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Central Michigan University - Assistant Professor, English Education - DEADLINE PASSED",2011,http://www.cmich.edu/Jobs.htm | mailto:english@cmich.edu | http://www.cmich.edu/aaeo/,TT,Rhetoric/Composition,Wiki,http://www.cmich.edu/Jobs.htm | mailto:english@cmich.edu | http://www.cmich.edu/aaeo/
"Clayton State University - Assistant Professor, Director of Writers' Studio (Begins January 2012) - PHONE INTERVIEWS SCHEDULED",2011,https://adminsystems2.clayton.edu/faculty_jobs/ | http://wpacouncil.org/node/3401,TT,Rhetoric/Composition,Wiki,https://adminsystems2.clayton.edu/faculty_jobs/ | http://wpacouncil.org/node/3401
"Clemson University - Assistant Professor, Digital Humanities - OFFERS MADE & REJECTED",2011,http://wpacouncil.org/clemsonjobs,TT,Rhetoric/Composition,Wiki,http://wpacouncil.org/clemsonjobs
"Coastal Carolina University, Assistant Professor - CAMPUS INTERVIEWS SCHEDULED",2011,http://jobs.coastal.edu/ | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175566717&Title=Assistant%20Professor%20of%20English%20%28Composition%20and%20Rhetoric%29,TT,Rhetoric/Composition,Wiki,http://jobs.coastal.edu/ | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175566717&Title=Assistant%20Professor%20of%20English%20%28Composition%20and%20Rhetoric%29
Colby College - Writing Program Administrator - PHONE INTERVIEW SCHEDULED,2011,mailto:ColbyWritingProgramDirectorsearch@colby.edu | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175567175&Title=Director%20of%20Colby%20Writing%20Program,Unknown,Rhetoric/Composition,Wiki,mailto:ColbyWritingProgramDirectorsearch@colby.edu | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175567175&Title=Director%20of%20Colby%20Writing%20Program
"Colgate University - Assistant Professor, Public Address - OFFER MADE & ACCEPTED",2011,https://academicjobsonline.org/ajo/jobs/1005 | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175557952&Title=Assistant%20Professor%20of%20Writing%20%26%20Rhetoric,TT,Rhetoric/Composition,Wiki,https://academicjobsonline.org/ajo/jobs/1005 | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175557952&Title=Assistant%20Professor%20of%20Writing%20%26%20Rhetoric
Colgate University - Assistant Professor of Writing & Rhetoric - PHONE INTERVIEWS SCHEDULED,2011,https://academicjobsonline.org/ajo/jobs/1204,TT,Rhetoric/Composition,Wiki,https://academicjobsonline.org/ajo/jobs/1204
College of New Rochelle (NY) - TT Assistant/Associate Professor of Composition - CAMPUS VISITS SCHEDULED,2011,,TT,Rhetoric/Composition,Wiki,
College of Staten Island (CUNY) - Assistant or Associate Professor - OFFER MADE & ACCEPTED,2011,,TT,Rhetoric/Composition,Wiki,
College of Staten Island - Lecturers in English (2 Positions) - DEADLINE PASSED,2011,mailto:facultyrecruithss@csi.cuny.edu,Non-TT,Rhetoric/Composition,Wiki,mailto:facultyrecruithss@csi.cuny.edu
College of the Holy Cross (MA) - Assistant Professor - CAMPUS INTERVIEWS SCHEDULED,2011,http://www.interfolio.com/apply/3059 | http://academics.holycross.edu/english/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.interfolio.com/apply/3059 | http://academics.holycross.edu/english/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
College of Wooster (OH) - Writing Center Director - CAMPUS INTERVIEWS SCHEUDLED,2011,http://www.wooster.edu/Offices-Directories/Human-Resources | http://careers.insidehighered.com/college-wooster/director-writing-center/job/383221 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Non-TT,Rhetoric/Composition,Wiki,http://www.wooster.edu/Offices-Directories/Human-Resources | http://careers.insidehighered.com/college-wooster/director-writing-center/job/383221 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Collins College - Full Time Professor - CAMPUS VISIT SCHEDULED,2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175562914&Title=FT%20Professor%20-%20English%20%28Writing%20Emphasis%29 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175562914&Title=FT%20Professor%20-%20English%20%28Writing%20Emphasis%29 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
