JobTitle,JobYear,JobLink,JobType,JobField,JobSource,JobLink_norm,FieldAlias,Count
American University of Beirut,2010,mailto:as_dean@aub.edu.lb | http://www.aub.edu.lb/fas,Unknown,Rhetoric/Composition,Wiki,mailto:as_dean@aub.edu.lb | http://www.aub.edu.lb/fas,Rhetoric/Composition,2443
Cal State San Marcos,2010,http://www.csusm.edu/facultyopportunities,Unknown,Rhetoric/Composition,Wiki,http://www.csusm.edu/facultyopportunities,Rhetoric/Composition,2443
Claremont McKenna College,2010,https://webapps.cmc.edu/jobs/staff/staff_opening_detail.php?PostingID=M935,Unknown,Rhetoric/Composition,Wiki,https://webapps.cmc.edu/jobs/staff/staff_opening_detail.php?PostingID=M935,Rhetoric/Composition,2443
Columbia University (NY),2010,http://chronicle.com/jobs/0000649408-01/ | https://academicjobs.columbia.edu/applicants/Central?quickFind=53715,Unknown,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000649408-01/ | https://academicjobs.columbia.edu/applicants/Central?quickFind=53715,Rhetoric/Composition,2443
Concordia University Chicago,2010,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175466877,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175466877,Rhetoric/Composition,2443
Curry College (MA),2010,http://curry.interviewexchange.com/jobofferdetails.jsp?JOBID=22027,Unknown,Rhetoric/Composition,Wiki,http://curry.interviewexchange.com/jobofferdetails.jsp?JOBID=22027,Rhetoric/Composition,2443
Drew University,2010,,Unknown,Rhetoric/Composition,Wiki,,Rhetoric/Composition,2443
East Stroudsburg University (Professional / Tech Writing),2010,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175486475,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175486475,Rhetoric/Composition,2443
George Mason University,2010,http://jobs.gmu.edu/,Unknown,Rhetoric/Composition,Wiki,http://jobs.gmu.edu/,Rhetoric/Composition,2443
Georgia Gwinett College,2010,http://www.insidehighered.com/career/seekers/posts/view/150267,Unknown,Rhetoric/Composition,Wiki,http://www.insidehighered.com/career/seekers/posts/view/150267,Rhetoric/Composition,2443
Georgia Southern U,2010,http://class.georgiasouthern.edu/writling | mailto:michaelp@georgiasouthern.edu. | http://class.georgiasouthern.edu/pdf/59255.pdf,Unknown,Rhetoric/Composition,Wiki,http://class.georgiasouthern.edu/writling | mailto:michaelp@georgiasouthern.edu. | http://class.georgiasouthern.edu/pdf/59255.pdf,Rhetoric/Composition,2443
Georgia State University,2010,http://www.english.gsu.edu/index.php,Unknown,Rhetoric/Composition,Wiki,http://www.english.gsu.edu/index.php,Rhetoric/Composition,2443
Harvard University (Preceptor in Expository Writing),2010,http://interfolio.com/hcwppp.cfm | http://www.writingprogram.fas.harvard.edu/ | http://interfolio.com/hcwppp.cfm,Unknown,Rhetoric/Composition,Wiki,http://interfolio.com/hcwppp.cfm | http://www.writingprogram.fas.harvard.edu/ | http://interfolio.com/hcwppp.cfm,Rhetoric/Composition,2443
Haverford College,2010,http://chronicle.com/jobs/0000646800-01/,Unknown,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000646800-01/,Rhetoric/Composition,2443
Ithaca College (NY),2010,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175465935,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175465935,Rhetoric/Composition,2443
Johns Hopkins University - Lectureship in the Expository Writing Program,2010,http://chronicle.com/jobs/0000661818-01/ | http://sites.jhu.edu/ewp/lecturer.html,Unknown,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000661818-01/ | http://sites.jhu.edu/ewp/lecturer.html,Rhetoric/Composition,2443
"Long Island University, CW Post - Rhetoric",2010,http://www.liu.edu/CWPost.aspx | mailto:Richard.McNabb@liu.edu,Unknown,Rhetoric/Composition,Wiki,http://www.liu.edu/CWPost.aspx | mailto:Richard.McNabb@liu.edu,Rhetoric/Composition,2443
"Michigan State University, Digital Humanities & Multimedia Writing (2 positions)",2010,http://jobs.msu.edu/,Unknown,Rhetoric/Composition,Wiki,http://jobs.msu.edu/,Rhetoric/Composition,2443
Murray State (KY),2010,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175463622,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175463622,Rhetoric/Composition,2443
